,text,intent,label,convert_ls,token_text
67,픽업완료했어,픽업완료,3,픽업 완료했어,"['픽업', '완료']"
68,픽업했고,픽업완료,3,픽업했고,['픽업']
69,픽업완료했고,픽업완료,3,픽업 완료했고,"['픽업', '완료']"
70,픽업완료,픽업완료,3,픽업 완료,"['픽업', '완료']"
71,음식찾았어,픽업완료,3,음식 찾았어,"['음식', '찾']"
72,음식받았어,픽업완료,3,음식 받았어,"['음식', '받']"
73,음식찾았고,픽업완료,3,음식 찾았고,"['음식', '찾']"
74,음식받았고,픽업완료,3,음식 받았고,"['음식', '받']"
75,음식픽업했고,픽업완료,3,음식 픽업했고,"['음식', '픽업']"
76,음식픽업했어,픽업완료,3,음식 픽업했어,"['음식', '픽업']"
77,음식픽업완료했고,픽업완료,3,음식 픽업 완료했고,"['음식', '픽업', '완료']"
78,음식완료,픽업완료,3,음식 완료,"['음식', '완료']"
79,영수증번호 6066,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
80,영수증번호 9937,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
81,영수증번호 5642,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
82,영수증번호 8522,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
83,영수증번호 4402,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
84,영수증번호 9781,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
85,영수증번호 7056,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
86,영수증번호 9385,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
87,영수증번호 5229,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
88,영수증번호 7547,영수증번호,4,영수증 번호  @,"['영수증', '번호', '@']"
89,주문번호 9945,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
90,주문번호 3931,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
91,주문번호 9052,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
92,주문번호 3715,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
93,주문번호 9972,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
94,주문번호 1575,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
95,주문번호 5248,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
96,주문번호 4889,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
97,주문번호 5675,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
98,주문번호 7614,영수증번호,4,주문번호  @,"['주문', '번호', '@']"
99,뒷자리 4403,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
100,뒷자리 7465,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
101,뒷자리 7370,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
102,뒷자리 8762,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
103,뒷자리 1158,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
104,뒷자리 8000,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
105,뒷자리 9244,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
106,뒷자리 7858,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
107,뒷자리 4918,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
108,뒷자리 4334,영수증번호,4,뒷자리  @,"['뒷자리', '@']"
109,10분 후 도착,소요시간선택,5, #분 후 도착,"['#', '분', '후', '도착']"
110,10분 이따가 도착,소요시간선택,5, #분 이따가 도착,"['#', '분', '이따가', '도착']"
111,20분 후 도착,소요시간선택,5, #분 후 도착,"['#', '분', '후', '도착']"
112,20분 이따가 도착,소요시간선택,5, #분 이따가 도착,"['#', '분', '이따가', '도착']"
113,30분 후 도착,소요시간선택,5, #분 후 도착,"['#', '분', '후', '도착']"
114,30분 이따가 도착,소요시간선택,5, #분 이따가 도착,"['#', '분', '이따가', '도착']"
115,40분 후 도착,소요시간선택,5, #분 후 도착,"['#', '분', '후', '도착']"
116,40분 이따가 도착,소요시간선택,5, #분 이따가 도착,"['#', '분', '이따가', '도착']"
117,배달완료,배달완료,6,배달 완료,"['배달', '완료']"
118,배달완료했어,배달완료,6,배달 완료했어,"['배달', '완료']"
119,배달끝냈어,배달완료,6,배달 끝냈어,"['배달', '끝내']"
120,배달끝났어,배달완료,6,배달 끝났어,"['배달', '끝나']"
121,음식배달완료,배달완료,6,음식 배달 완료,"['음식', '배달', '완료']"
122,음식배달완료했어,배달완료,6,음식 배달 완료했어,"['음식', '배달', '완료']"
123,음식배달끝냈어,배달완료,6,음식 배달 끝냈어,"['음식', '배달', '끝내']"
124,음식배달끝났어,배달완료,6,음식 배달 끝났어,"['음식', '배달', '끝나']"
