기간	자치구	구분	합계	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	비사업용차량	이륜차	자전거	기타불명
2019	은평구	사망자수	7	1	-	-	-	-	1	-	-	3	1	-	-	2	2	1	-
2019	은평구	부상자수	1,464	424	73	14	11	222	33	62	9	745	617	12	3	113	197	69	29
2019	서대문구	발생건수	1,113	362	69	17	10	181	22	49	14	526	447	5	7	67	150	48	27
2019	서대문구	사망자수	14	5	2	1	-	-	-	-	2	7	5	-	1	1	1	1	-
2019	서대문구	부상자수	1,609	563	131	32	14	252	26	77	31	781	682	6	6	87	189	49	27
2019	마포구	발생건수	1,494	516	54	15	15	303	35	85	9	690	604	10	1	75	174	52	62
2019	마포구	사망자수	7	3	-	-	-	1	1	-	1	3	3	-	-	-	1	-	-
2019	마포구	부상자수	2,123	767	67	33	29	452	46	132	8	1,018	895	15	1	107	215	58	65
2019	양천구	발생건수	1,506	375	46	6	6	214	38	54	11	883	739	12	4	128	141	70	37
2019	양천구	사망자수	11	2	1	-	1	-	-	-	-	7	5	-	-	2	1	1	-
2019	양천구	부상자수	2,085	561	58	19	5	328	41	96	14	1,231	1,052	17	5	157	185	70	38
2019	강서구	발생건수	1,829	531	103	21	10	261	38	84	14	948	810	8	4	126	230	72	48
2019	강서구	사망자수	20	9	3	1	-	3	-	1	1	8	5	-	-	3	3	-	-
2019	강서구	부상자수	2,491	765	157	44	24	332	55	137	16	1,294	1,121	8	4	161	305	79	48
2019	구로구	발생건수	1,529	382	63	10	5	181	40	68	15	878	690	23	1	164	171	71	27
2019	구로구	사망자수	13	7	1	-	-	5	1	-	-	5	5	-	-	-	1	-	-
2019	구로구	부상자수	2,096	531	85	11	7	266	45	102	15	1,235	983	27	2	223	222	78	30
2019	금천구	발생건수	920	268	56	5	6	109	28	51	13	460	361	11	-	88	127	40	25
2019	금천구	사망자수	9	2	1	-	-	1	-	-	-	5	3	-	-	2	1	1	-
2019	금천구	부상자수	1,353	395	98	7	10	147	36	78	19	717	591	13	-	113	168	48	25
2019	영등포구	발생건수	2,439	727	104	23	13	402	62	106	17	1,193	981	14	5	193	281	189	49
2019	영등포구	사망자수	11	4	-	1	-	2	-	-	1	6	3	-	-	3	1	-	-
2019	영등포구	부상자수	3,451	1,096	142	47	47	571	79	186	24	1,715	1,430	15	5	265	369	219	52
2019	동작구	발생건수	1,406	414	78	3	10	215	25	73	10	699	580	6	9	104	217	53	23
2019	동작구	사망자수	5	2	-	-	-	2	-	-	-	2	2	-	-	-	1	-	-
2019	동작구	부상자수	2,021	634	109	6	19	314	60	103	23	1,004	855	8	9	132	294	63	26
2019	관악구	발생건수	1,363	426	74	3	8	239	26	64	12	667	560	8	3	96	216	43	11
2019	관악구	사망자수	10	3	-	-	-	2	-	-	1	5	2	-	-	3	1	1	-
2019	관악구	부상자수	1,755	541	83	4	14	310	33	84	13	871	738	10	3	120	285	46	12
2019	서초구	발생건수	2,418	753	76	37	21	380	70	153	16	1,392	1,245	14	6	127	185	46	42
2019	서초구	사망자수	14	7	-	-	-	3	1	-	3	4	3	-	-	1	3	-	-
2019	서초구	부상자수	3,530	1,176	102	79	39	565	102	269	20	2,038	1,810	25	8	195	219	50	47
2019	강남구	발생건수	3,722	1,157	72	16	14	630	63	345	17	2,076	1,913	18	8	137	337	60	92
2019	강남구	사망자수	14	5	1	-	-	2	-	1	1	5	3	-	-	2	4	-	-
2019	강남구	부상자수	5,182	1,609	93	19	16	893	88	481	19	2,992	2,775	22	9	186	415	70	96
2019	송파구	발생건수	2,892	766	65	21	21	417	68	154	20	1,558	1,349	23	6	180	281	218	69
2019	송파구	사망자수	13	3	-	-	1	1	-	1	-	5	4	-	-	1	5	-	-
2019	송파구	부상자수	4,003	1,095	79	39	76	565	94	210	32	2,245	1,958	30	6	251	345	245	73
2019	강동구	발생건수	1,414	390	73	7	4	200	40	58	8	770	608	11	5	146	133	70	51
2019	강동구	사망자수	11	3	-	-	-	2	-	1	-	5	4	-	-	1	3	-	-
2019	강동구	부상자수	1,910	552	104	9	4	274	73	78	10	1,055	839	14	11	191	172	78	53
